date,year,type,country,state,location,activity,sex,age,injury,time,species
11-May-2023,2023.0,Provoked,USA,Hawaii,"Kualoa, Oahu",Fishing,M,,"Shark bit kayak, no inury to occupant",,Tiger shark
09 May-2023,2023.0,Provoked,CUBA,Mayabeque,Puerto Escondido,Fishing,M,,Fatal,,Bull shark
05-May-2023,2023.0,Unprovoked,USA,Florida,"Davis Reef, Islamorada, Monroe County",Fishing,M,22,Injury to lower leg,11h30,
03-May-2023,2023.0,Unprovoked,SOUTH AFRICA,Easten Cape Province,"Supertubes, Jeffreys Bay",Surfing,M,50s,Injured,19h15,
01-May-2023,2023.0,Unprovoked,SOUTH AFRICA,Easten Cape Province,Mngcibe Beach,Diving,M,39,Injured,,
29-Apr-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,"Yallingup, Busselton",Swimming,M,,Injured,11h20,1m shark
29-Apr-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,"Kurrajong Campground, Exnouth",Snorkeling,M,11,Injured,15h00,
23-Apr-2023,2023.0,Unprovoked,USA,Florida,"Anna Maria Island, Manatee County",Fishing,M,,Injured,,Bull shark
22-Apr-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Lucy's Beach,Surfing,M,30,Bite to right arm,07h15,"Bronze whaler shark, 1.5 m"
11-Apr-2023,2023.0,Unprovoked,USA,Florida,"Virginia Key, Monroe County",Surfing,F,50s,Injured,15h00,
09-Apr-2023,2023.0,Watercraft,USA,Florida,Palm Beach County,Fishing,M,,No injury,07h00,
09-Apr-2023,2023.0,Unprovoked,USA,Hawaii,"Kewalos, Oahu",Surfing,M,58,Injured,07h00,Tiger shark
25-Mar-2023,2023.0,Unprovoked,USA,Florida,"Blue Fish Channel, Key West, Monroe County",Surfing,M,67,Lacertions to right calf,14h00,
25-Mar-2023,2023.0,Provoked,CUBA,Artemisa,Playa Majana ,Fishing,M,17,Injured,,
22-Mar-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Delta Island,Wading,M,30s,Injured,18h00,
19-Mar-2023,2023.0,Unprovoked,USA,Hawaii,Anaehoomalu Bay,Swimming,M,60,Left hand and  left leg.,12h30,Black shark
17-Mar-2023,2023.0,Questionable,MEXICO,Quintana Roo,Cancún,Swimming,M,10,Significant  injury to leg ,,Authorities report injury caused bya barracuda
16-Mar-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach ,Surfing,F,,,08h00,5m to 6m shark
06-Mar-2023,2023.0,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,F,15,Injured,14h20,
05-Mar-2023,2023.0,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,M,14,Injured,,
02-Mar-2023,2023.0,Unprovoked,SEYCHELLES,Praslin Island,,Snorkeling,M,6,Injured,Afternoon,Lemon shark
21-Feb-2023,2023.0,Unprovoked,BRAZIL,Pernambuco,Praia de Milagres,Surfing,M,32,Injured,16h30,
19-Feb-2023,2023.0,Unprovoked,NEW CALEDONIA,South Province,"Château-Royal Beach , Noumea",Swimming,M,59,Fatal,16h00,Bull shark
19-Feb-2023,2023.0,Unprovoked,USA,Florida,"Jupiter Island, Martin County",Surfing,M,60,Injury to lower leg,17h30,
17-Feb-2023,2023.0,Questionable,FIJI,Taveuni Island,Ura Estate,Fishing,M,41,Questionable,07h20,
04-Feb-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Freemantle,Swimming,F,16,Fatal,15h30,Bull shark
30-Jan-2023,2023.0,Unprovoked,AUSTRALIA,Queensland,Lady Musgrave Island,Fishing,M,8,Injured,,A small shark
29 Jan--2023,2023.0,Unprovoked,NEW CALEDONIA,South Province,"Chateau Royal Beach, Noumea",Swimming,M,49,"Hands, back and thigh inujured",10h30,Bull shark
08-Jan--2023,2023.0,Unprovoked,USA,Florida,"Outer Mole, Fort Zachrry Tatlor Historic Park, Key West, Monroe County",Swimming,M,34,Injured,14h00,
05-Jan-2023,2023.0,Unprovoked,MeXICO,Gulf of California,Tobari Bay,Diving,M,53,Fatal,11h30,
01-Jan-2023,2023.0,Provoked,USA,Florida,70 miles off Pensacola,Spearfishing,M,30,Injured,14h50,Mako shark
Jan-2023,2023.0,Provoked,Maldives,Vaavu Atoll,,Snorkeling at Shark Feeding site,F,30,Injured,,Nurse shark
30-Dec-2022,2022.0,Provoked,South Africa,KNZ,Protea Banks,Diving,M,26,Injured,09h00,Black shark
